date,tavg,prcp,Volumetric Soil Moisture (in %)
11-10-2019,24.4,0,26.79
12-10-2019,25,0.5,25.41
13-10-2019,24.9,0,25.07
14-10-2019,26.7,0,24.27
15-10-2019,24.7,0,24.31
16-10-2019,24.5,0,23.83
17-10-2019,22.4,0,24.85
18-10-2019,23,3.8,26.39
19-10-2019,23.4,8.9,27.12
20-10-2019,23.3,0,27.17
21-10-2019,22.2,7.9,28.66
22-10-2019,21.4,38.9,32.52
23-10-2019,22.8,13.2,32.4
24-10-2019,22.5,0,31.7
25-10-2019,21.5,0,31.6
26-10-2019,22.4,6.1,32.13
27-10-2019,22.3,3,32.34
28-10-2019,23.1,37.1,32.32
29-10-2019,22,0,31.94
30-10-2019,21.4,4.6,31.11
31-10-2019,22.5,6.9,30.61
01-11-2019,23.8,0.3,29.11
02-11-2019,24.2,0,27.73
03-11-2019,24.4,0,26.53
04-11-2019,24,0,25.34
05-11-2019,24.1,0,24.18
06-11-2019,24.1,0,23.12
07-11-2019,24.7,0,23.17
08-11-2019,24.4,3,23.49
09-11-2019,24.3,0,28.12
10-11-2019,24.6,49.5,30.07
11-11-2019,23.8,0,28.85
12-11-2019,23.1,0,27.71
13-11-2019,22.9,0,26.86
14-11-2019,22.3,0,26.14
15-11-2019,22.7,2.8,25.82
16-11-2019,23.5,0.5,24.89
17-11-2019,24,0,23.99
18-11-2019,23.8,0,23.14
19-11-2019,23.6,0,22.35
20-11-2019,22.3,0,25.35
21-11-2019,22.4,0,25.72
22-11-2019,22.3,0,24.77
23-11-2019,23.2,0,23.97
24-11-2019,22.5,0,22.91
25-11-2019,22.4,0,22.3
26-11-2019,22.7,0,21.58
27-11-2019,21.9,0.3,20.97
28-11-2019,22.6,0,20.69
29-11-2019,22.5,0,20.39
30-11-2019,21.4,1.5,20.5
01-12-2019,21.2,1.8,21.38
02-12-2019,21.3,6.9,21.02
03-12-2019,21.1,0.5,20.81
04-12-2019,21.2,0,20.05
05-12-2019,20.8,0,19.24
06-12-2019,20.4,0,18.86
07-12-2019,20.3,0,18.03
08-12-2019,20.2,0,17.92
09-12-2019,21.5,0,17.11
10-12-2019,21.6,0,16.62
11-12-2019,22.3,0,15.89
12-12-2019,21.4,0,15.55
13-12-2019,22.2,0,14.87
14-12-2019,21.1,0,14.88
15-12-2019,21.7,2.8,15.95
16-12-2019,22.1,0,15.25
17-12-2019,21.3,0,14.59
18-12-2019,21.6,0,14.27
19-12-2019,20.7,0,13.66
20-12-2019,20.9,0,13.39
21-12-2019,21.9,0,12.82
22-12-2019,21.8,0,12.3
23-12-2019,21,0,11.15
24-12-2019,22.3,0,10.71
25-12-2019,21.6,0,10.29
26-12-2019,22.3,0,9.86
27-12-2019,23.4,0,9.42
28-12-2019,21.9,0,9.06
29-12-2019,21.8,0,8.71
30-12-2019,21.7,0,8.39
31-12-2019,21.9,0,8.09
01-01-2020,22,0,7.72
02-01-2020,22.2,0,7.32
03-01-2020,23.4,0,7.09
04-01-2020,23.6,0,6.92
05-01-2020,24.2,0,6.53
06-01-2020,22.1,0,6.2
07-01-2020,22.2,0,14.33
08-01-2020,22.7,0,14.19
09-01-2020,23.1,0,14.07
10-01-2020,22.1,0,13.95
11-01-2020,20.8,0,13.83
12-01-2020,21.1,0,13.72
13-01-2020,22.9,0,13.58
14-01-2020,21.9,0,13.48
15-01-2020,21,0,13.42
16-01-2020,21.8,0,13.33
17-01-2020,22.1,0,13.25
18-01-2020,22.4,0,13.19
19-01-2020,23.3,0,13.12
20-01-2020,23.3,0,13.09
21-01-2020,22.6,0,13.02
22-01-2020,22.3,0,12.96
23-01-2020,23.2,0,12.91
24-01-2020,22.7,0,12.86
25-01-2020,22.6,0,12.8
26-01-2020,23.4,0,12.77
27-01-2020,23.9,0,12.71
28-01-2020,23.9,0,12.68
29-01-2020,24.2,0,12.65
30-01-2020,24.8,0,12.61
31-01-2020,25.1,0,12.57
01-02-2020,23.4,0,12.53
02-02-2020,22.9,0,12.51
03-02-2020,23.3,0,12.49
04-02-2020,23.5,0,12.59
05-02-2020,23.7,0,12.43
06-02-2020,24,0,12.44
07-02-2020,23.7,0,12.42
08-02-2020,24.4,0,12.4
09-02-2020,23.8,0,12.35
10-02-2020,23.2,0,12.33
11-02-2020,23.2,0,12.32
12-02-2020,23.3,0,12.3
13-02-2020,24.5,0,12.29
14-02-2020,24.7,0,12.28
15-02-2020,25.2,0,12.26
16-02-2020,24.8,0,12.26
17-02-2020,23.9,0,12.25
18-02-2020,23.9,0,12.23
19-02-2020,23.8,0,12.22
20-02-2020,23.7,0,12.22
21-02-2020,24,0,12.21
22-02-2020,24.1,0,12.2
23-02-2020,23.7,0,12.2
24-02-2020,23.3,0,12.6
25-02-2020,25,0,12.56
26-02-2020,25.4,0,12.5
27-02-2020,25.2,0,12.47
28-02-2020,24.5,0,12.44
29-02-2020,25.2,0,12.42
01-03-2020,25.5,0,12.5
02-03-2020,24.5,0,12.59
03-03-2020,25.8,0,12.43
04-03-2020,26.4,1,12.43
05-03-2020,27.4,0,12.41
06-03-2020,26.6,0,12.39
07-03-2020,26.1,1,12.39
08-03-2020,26.4,0,12.37
09-03-2020,26.4,0,12.37
10-03-2020,27,0,12.36
11-03-2020,26.9,0,12.35
12-03-2020,26.3,0,12.34
13-03-2020,26.4,0,12.34
14-03-2020,26.9,0,12.34
15-03-2020,26.6,0,12.33
16-03-2020,26.6,0,12.32
17-03-2020,26.3,0,12.31
18-03-2020,27.2,0,12.31
19-03-2020,27.6,0,12.33
20-03-2020,25.4,0,13.55
21-03-2020,27.4,0,13.68
22-03-2020,27.8,0,13.8
23-03-2020,25.3,0,19.87
24-03-2020,27.4,0,20.75
25-03-2020,26.8,0,20.31
26-03-2020,26.9,0,19.78
27-03-2020,26.4,0,19.32
28-03-2020,26.9,0,18.9
29-03-2020,27.8,0,18.51
30-03-2020,27.8,0,18.15
31-03-2020,27.8,0,17.83
01-04-2020,28.8,0,17.52
02-04-2020,28.8,0,17.24
03-04-2020,28.5,0,16.99
04-04-2020,28.4,0,16.75
05-04-2020,28.8,0,17.37
06-04-2020,27.7,0,20.33
07-04-2020,25,30,21.71
08-04-2020,26.8,0,21.3
09-04-2020,24.9,0,24.47
10-04-2020,24.7,33.3,23.21
11-04-2020,26.6,0,22.34
12-04-2020,27.1,0,21.63
13-04-2020,27.6,0,21.17
14-04-2020,27.3,0,20.78
15-04-2020,27.7,0,20.41
16-04-2020,28,0,20.08
17-04-2020,28.3,0,19.77
18-04-2020,28.4,0,21.52
19-04-2020,28.2,0,20.88
20-04-2020,28.2,0,20.34
21-04-2020,28,0,19.85
22-04-2020,29.6,0,19.45
23-04-2020,29.1,0,22.18
24-04-2020,25.7,23.1,22.42
25-04-2020,25.8,0,25.1
26-04-2020,26.7,0,23.69
27-04-2020,26.7,0,22.95
28-04-2020,27.2,3,26.4
29-04-2020,23.2,30.7,32.27
30-04-2020,26.5,1,27.99
01-05-2020,28.7,0,26.62
02-05-2020,27.7,0,26.69
03-05-2020,27.5,0,25.79
04-05-2020,28.7,0,24.82
05-05-2020,29.1,0,24.12
06-05-2020,27.2,0,23.93
07-05-2020,26.9,0,24.3
08-05-2020,27.7,0,23.97
09-05-2020,29.1,0,23.18
10-05-2020,29,0,22.59
11-05-2020,28.3,0,21.97
12-05-2020,27.6,0,21.85
13-05-2020,27.9,0,21.11
14-05-2020,28.7,0,20.59
15-05-2020,29,0,20.44
16-05-2020,28.3,0,20.06
17-05-2020,27.8,0,22.64
18-05-2020,25.3,10.9,10.53
19-05-2020,26.7,0,10.28
20-05-2020,27.8,0,24.69
21-05-2020,26.4,0,25.35
22-05-2020,28.6,0,25.3
23-05-2020,28.7,0,24.42
24-05-2020,25.6,0,28.95
25-05-2020,26.7,35.3,27.73
26-05-2020,25.6,0,30.93
27-05-2020,24.1,31,31.2
28-05-2020,24.9,0,31.94
29-05-2020,24.1,4.3,32.26
30-05-2020,24.6,24.4,30.91
31-05-2020,26.3,0.3,29.75
01-06-2020,25.9,0,30.72
02-06-2020,24.4,0,30.01
03-06-2020,24.7,0,28.59
04-06-2020,25.4,0,27.46
05-06-2020,25.7,0,26.41
06-06-2020,24.6,0,28.12
07-06-2020,24.5,20.3,26.9
08-06-2020,26.2,0,25.82
09-06-2020,25.4,0,25.17
10-06-2020,24.7,0,25.83
11-06-2020,23.1,1,31.03
12-06-2020,23,20.6,29.54
13-06-2020,23.3,0,28.08
14-06-2020,23.9,1.8,27.47
15-06-2020,25,0,26.24
16-06-2020,24.8,2,27.03
17-06-2020,23.4,0,30.34
18-06-2020,23.3,0,31.23
19-06-2020,24.7,0,29.48
20-06-2020,25.2,0,28.13
21-06-2020,23.8,0,28.11
22-06-2020,23.4,0.3,28.75
23-06-2020,25.3,2.3,31.52
24-06-2020,24.2,4.6,32.1
25-06-2020,23.7,22.1,32.26
26-06-2020,24.2,39.6,30.47
27-06-2020,24.4,0,30.84
28-06-2020,24.8,2.3,32.13
29-06-2020,23.6,0,32.26
30-06-2020,24.6,1.3,32.42
01-07-2020,24.7,0,32.24
02-07-2020,22.4,0,32.31
03-07-2020,22.6,0,32.31
04-07-2020,22.8,0,32.34
05-07-2020,23.3,0,31.87
06-07-2020,23.1,0.5,31.75
07-07-2020,23.4,0,31.06
08-07-2020,22.9,7.4,31.35
09-07-2020,23.7,24.4,32.33
10-07-2020,23.1,29.2,32.41
11-07-2020,24.6,0.5,32.2
12-07-2020,25.1,0.3,32.02
13-07-2020,24.3,0,31.28
14-07-2020,23.8,0,31.77
15-07-2020,22.4,0,32.35
16-07-2020,21.8,6.6,32.39
17-07-2020,22.2,10.9,30.92
18-07-2020,23.4,0,30.98
19-07-2020,24.4,0.8,32.28
20-07-2020,23.4,11.2,31.45
21-07-2020,24.5,24.1,29.42
22-07-2020,25.8,0,27.72
23-07-2020,25.1,0,31.8
24-07-2020,23.8,4.3,32.25
25-07-2020,23.7,0,32.25
26-07-2020,23.6,4.1,30.44
27-07-2020,24.1,0,29.15
28-07-2020,24.7,2.3,28.79
29-07-2020,22.9,7.9,31.37
30-07-2020,23.5,1.3,32.2
31-07-2020,23.9,4.1,32.28
01-08-2020,23,2,31.75
02-08-2020,22.8,3.3,32.17
03-08-2020,22.9,2.5,32.02
04-08-2020,21.9,1.5,32.2
05-08-2020,22.1,1.8,31.48
06-08-2020,23.4,2.8,30.57
07-08-2020,23.4,1.3,29.74
08-08-2020,22.4,0,31.28
09-08-2020,21.8,2.3,32.44
10-08-2020,21.9,12.2,32.27
11-08-2020,22.8,0,32.22
12-08-2020,23.4,5.1,32.3
13-08-2020,23.7,0,30.26
14-08-2020,22.7,0,30.54
15-08-2020,22.4,0,32
16-08-2020,21.6,0,32.35
17-08-2020,22.2,0.3,30.78
18-08-2020,23,1,29
19-08-2020,23.1,0,29.44
20-08-2020,22.8,0,31.48
21-08-2020,24.1,0,30.75
22-08-2020,24.1,0,29.36
23-08-2020,24.1,0,30.95
24-08-2020,24.1,2,31.16
25-08-2020,25,0,30.01
26-08-2020,25.6,0,30.62
27-08-2020,24.2,0,28.87
28-08-2020,25.3,0,27.12
29-08-2020,25.7,0,26.11
30-08-2020,25.6,0,29.88
31-08-2020,24.4,23.1,31.05
01-09-2020,24,18.8,31.24
02-09-2020,22.9,2,32.31
03-09-2020,23.8,29.7,32.3
04-09-2020,24.9,9.7,31.67
05-09-2020,24.8,0,29.9
06-09-2020,25.5,0,28.31
07-09-2020,24.4,0,30.45
08-09-2020,24.4,2,32.01
09-09-2020,23.9,61,32.32
10-09-2020,22.7,65,30.48
11-09-2020,22.1,0,29.38
12-09-2020,21.5,1.3,31.42
13-09-2020,21.6,17.5,31.39
14-09-2020,22.5,1,30.14
15-09-2020,22.8,0,29.84
16-09-2020,23.3,0.3,29.18
17-09-2020,23.8,0,27.75
18-09-2020,24,0.3,28.78
19-09-2020,22.1,0,29.9
20-09-2020,20.4,20.8,29.05
21-09-2020,22.1,11.4,27.93
22-09-2020,21.7,0,26.62
23-09-2020,22.8,0,25.39
24-09-2020,23.7,0,23.88
25-09-2020,24.3,0,28.99
26-09-2020,22.8,3,30.99
27-09-2020,23.3,0,30.02
28-09-2020,24.1,0,32.03
29-09-2020,22.4,0,32.5
30-09-2020,22.3,54.4,32.45
01-10-2020,23.5,0,29.15
02-10-2020,24.7,0,27.29
03-10-2020,23.5,0.5,27.27
04-10-2020,22.5,0,27.02
05-10-2020,23.6,0.3,25.86
06-10-2020,25.1,0,24.77
07-10-2020,25,0,23.92
08-10-2020,25.7,0,23.08
09-10-2020,23.7,0,26.64
10-10-2020,23.1,23.6,30.62
11-10-2020,21.7,51.1,31.22
12-10-2020,21.8,3,30
13-10-2020,21.2,5.1,29.44
14-10-2020,21.5,0.5,28.26
15-10-2020,22.5,0,27.17
16-10-2020,23.4,0,25.92
17-10-2020,23.6,0,24.88
18-10-2020,23.8,0.3,24.21
19-10-2020,23.3,1.8,28.23
20-10-2020,22.9,3.8,27.55
21-10-2020,22.7,67.1,31.29
22-10-2020,22.2,5.3,31.32
23-10-2020,21,17.5,31.39
24-10-2020,22,17.3,31.81
25-10-2020,23.5,0,29.79
26-10-2020,23.6,7.9,29.89
27-10-2020,23.7,0,28.33
28-10-2020,23.3,0,26.94
29-10-2020,21.9,0,25.79
30-10-2020,22.9,0,24.75
31-10-2020,24.1,0,23.83
01-11-2020,24.8,0,23.05
02-11-2020,24.3,0.3,22.46
03-11-2020,24.7,0,21.87
04-11-2020,24.5,0,21.32
05-11-2020,24.3,0,20.8
06-11-2020,23.8,0,27.5
07-11-2020,23.4,0,25.69
08-11-2020,23.4,0,24.99
09-11-2020,22.7,0,24.14
10-11-2020,21.3,0,23.37
11-11-2020,22.7,0,22.68
12-11-2020,23.7,0,22.1
13-11-2020,22.1,0,21.68
14-11-2020,22.8,8.9,23.75
15-11-2020,21.6,0,23.06
16-11-2020,21.6,9.9,25.99
17-11-2020,22.2,21.1,28.91
18-11-2020,22.8,0,26.85
19-11-2020,22.9,0,25.7
20-11-2020,22.2,0,24.78
21-11-2020,21.9,0,23.99
22-11-2020,21.4,0,23.28
23-11-2020,22.4,0,22.64
24-11-2020,21.8,0,22.09
25-11-2020,21.1,0,21.64
26-11-2020,19.4,2,24.01
27-11-2020,19.7,13.2,29.17
28-11-2020,21.5,0.3,26.9
29-11-2020,21.6,0,26.36
30-11-2020,21.9,0,25.42
01-12-2020,21.1,0,24.7
02-12-2020,20.8,0,24.1
03-12-2020,19.9,2.3,23.94
04-12-2020,20.8,1.8,23.87
05-12-2020,21,0.8,23.8
06-12-2020,20.9,1.3,23.64
07-12-2020,21.7,7.6,24.23
08-12-2020,21.3,5.6,25.49
09-12-2020,21.7,0.8,26.14
10-12-2020,21.3,0,25.5
11-12-2020,21.2,0,24.76
12-12-2020,20.4,0,24.12
13-12-2020,21.2,0,23.55
14-12-2020,20.8,0,23.04
15-12-2020,21.3,0,22.57
16-12-2020,21.8,0,22.14
17-12-2020,21.7,0.3,21.82
18-12-2020,22.1,0,21.43
19-12-2020,20.4,0,21.06
20-12-2020,20.3,0,20.72
21-12-2020,19.7,0,20.38
22-12-2020,20.6,0,20.05
23-12-2020,21.2,0,19.74
24-12-2020,21.7,0,19.45
25-12-2020,21.2,0,19.17
26-12-2020,21.2,0,18.9
27-12-2020,21.4,0,18.63
28-12-2020,21.2,0,18.38
29-12-2020,22.5,0,18.14
30-12-2020,22.8,0,17.91
31-12-2020,21.1,0,18.49
